################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2021-12-20 00:03:32 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-01-17 07:44:46","51.178.161.32","4643","online","2021-12-20","Dridex"
"2021-01-17 07:45:58","217.79.184.243","33443","offline","2021-12-01","Dridex"
"2021-01-17 07:47:59","46.101.90.205","4643","online","2021-12-20","Dridex"
"2021-01-17 07:50:16","54.38.143.246","691","online","2021-12-20","Dridex"
"2021-01-18 09:17:45","103.150.68.124","449","online","2021-12-20","TrickBot"
"2021-01-26 03:22:41","142.44.247.57","4043","online","2021-12-20","Dridex"
"2021-02-02 00:55:55","177.87.0.7","447","online","2021-12-20","TrickBot"
"2021-02-02 20:03:38","45.201.134.202","447","offline","2021-12-06","TrickBot"
"2021-02-02 23:58:18","49.156.39.150","447","online","2021-12-20","TrickBot"
"2021-02-03 16:34:01","159.224.167.102","447","online","2021-12-20","TrickBot"
"2021-02-08 12:27:30","178.128.83.165","443","online","2021-12-20","Dridex"
"2021-02-22 16:57:59","37.187.115.122","6601","online","2021-12-20","Dridex"
"2021-02-23 11:15:18","5.182.210.132","443","online","2021-12-20","TrickBot"
"2021-03-01 21:11:38","121.199.35.69","443","online","2021-12-20","Dridex"
"2021-03-02 17:58:10","85.88.174.94","447","online","2021-12-20","TrickBot"
"2021-03-04 03:09:22","103.73.102.174","447","online","2021-12-20","TrickBot"
"2021-03-05 21:29:01","111.235.66.83","447","offline","2021-12-15","TrickBot"
"2021-03-07 23:49:28","62.64.9.237","447","online","2021-12-20","TrickBot"
"2021-03-10 15:58:44","144.76.42.74","6601","online","2021-12-20","Dridex"
"2021-03-22 12:53:59","37.247.35.130","6601","online","2021-12-20","Dridex"
"2021-03-23 14:15:14","216.177.161.118","447","online","2021-12-20","TrickBot"
"2021-03-24 14:51:47","108.55.14.158","447","online","2021-12-20","TrickBot"
"2021-03-25 19:15:49","103.77.205.102","447","online","2021-12-20","TrickBot"
"2021-04-04 20:56:22","216.10.251.121","6601","online","2021-12-20","Dridex"
"2021-04-05 17:24:06","51.91.76.89","2303","online","2021-12-20","Dridex"
"2021-04-08 23:50:56","131.100.24.199","2303","online","2021-12-20","Dridex"
"2021-04-09 06:56:12","94.28.78.200","447","online","2021-12-20","TrickBot"
"2021-04-09 08:37:23","181.143.251.154","447","offline","2021-12-19","TrickBot"
"2021-04-13 07:29:54","77.232.163.203","449","online","2021-12-20","TrickBot"
"2021-04-13 07:32:30","87.97.178.92","449","online","2021-12-20","TrickBot"
"2021-04-13 07:32:31","91.243.125.5","443","online","2021-12-20","TrickBot"
"2021-04-13 07:32:31","181.143.251.154","449","offline","2021-12-19","TrickBot"
"2021-04-13 07:32:31","185.94.172.15","449","online","2021-12-20","TrickBot"
"2021-04-13 08:20:32","156.19.152.218","443","offline","2021-12-07","TrickBot"
"2021-04-15 18:26:39","131.100.24.192","443","online","2021-12-20","Dridex"
"2021-04-15 22:29:14","87.97.178.92","447","online","2021-12-20","TrickBot"
"2021-04-22 18:33:10","154.79.244.182","443","online","2021-12-20","TrickBot"
"2021-04-22 22:04:30","178.134.47.166","443","online","2021-12-20","TrickBot"
"2021-04-22 22:04:30","154.79.251.172","443","online","2021-12-20","TrickBot"
"2021-04-29 19:37:00","153.126.165.175","6601","online","2021-12-20","Dridex"
"2021-04-29 22:22:18","178.254.33.197","2303","online","2021-12-20","Dridex"
"2021-05-05 20:01:14","190.152.4.202","447","online","2021-12-20","TrickBot"
"2021-05-13 04:12:25","43.229.206.212","443","offline","2021-12-02","Dridex"
"2021-05-16 19:49:32","1.234.21.73","6601","online","2021-12-20","Dridex"
"2021-05-16 19:49:33","178.128.23.9","4125","online","2021-12-20","Dridex"
"2021-05-19 20:14:39","185.242.89.198","443","online","2021-12-20","TrickBot"
"2021-05-19 20:14:42","181.176.221.151","443","offline","2021-11-22","TrickBot"
"2021-05-19 20:14:43","181.176.174.139","443","online","2021-12-20","TrickBot"
"2021-05-19 20:14:43","185.242.88.63","443","online","2021-12-20","TrickBot"
"2021-05-19 20:14:44","186.32.3.108","443","online","2021-12-20","TrickBot"
"2021-05-21 12:52:24","144.48.139.206","443","online","2021-12-20","TrickBot"
"2021-05-22 13:05:56","185.9.187.10","443","online","2021-12-20","TrickBot"
"2021-05-23 12:57:48","103.164.180.66","447","online","2021-12-20","TrickBot"
"2021-05-24 14:24:06","186.97.172.178","443","online","2021-12-20","TrickBot"
"2021-05-24 14:24:07","177.67.137.111","443","online","2021-12-20","TrickBot"
"2021-05-24 14:24:12","187.19.167.233","443","online","2021-12-20","TrickBot"
"2021-05-27 21:40:01","88.150.240.129","443","offline","2021-11-26","TrickBot"
"2021-05-29 01:04:21","91.83.88.122","443","online","2021-12-20","TrickBot"
"2021-05-29 07:40:55","186.42.253.110","443","offline","2021-11-28","TrickBot"
"2021-06-02 01:31:21","162.214.188.105","8172","online","2021-12-20","Dridex"
"2021-06-05 20:28:44","162.214.106.107","13783","online","2021-12-20","Dridex"
"2021-06-09 17:16:27","45.79.91.89","9987","online","2021-12-20","Dridex"
"2021-06-17 16:25:27","162.214.127.16","6051","offline","2021-12-10","Dridex"
"2021-06-18 08:53:41","91.235.129.8","443","offline","2021-11-25","TrickBot"
"2021-06-20 06:56:41","97.83.40.67","443","offline","2021-12-09","TrickBot"
"2021-06-21 04:28:32","91.207.28.33","13786","online","2021-12-20","Dridex"
"2021-06-21 06:46:36","178.128.197.110","4664","online","2021-12-20","Dridex"
"2021-06-22 10:54:38","209.33.231.203","443","online","2021-12-20","TrickBot"
"2021-06-22 11:09:48","148.235.154.164","443","offline","2021-12-08","TrickBot"
"2021-06-22 11:09:49","190.145.83.98","443","online","2021-12-20","TrickBot"
"2021-06-23 20:10:38","178.79.150.86","4664","online","2021-12-20","Dridex"
"2021-06-28 15:31:40","186.225.119.170","443","online","2021-12-20","TrickBot"
"2021-06-28 15:31:40","200.236.218.62","443","online","2021-12-20","TrickBot"
"2021-06-28 15:31:41","49.248.217.170","443","online","2021-12-20","TrickBot"
"2021-06-30 20:00:39","45.36.99.184","443","offline","2021-12-09","TrickBot"
"2021-06-30 20:00:40","24.162.214.166","443","online","2021-12-20","TrickBot"
"2021-06-30 20:00:41","184.74.99.214","443","offline","2021-12-09","TrickBot"
"2021-07-01 07:27:52","170.238.117.187","443","offline","2021-12-08","TrickBot"
