"Name","version","Vendor","InstallDate","InstallSource"
"7-Zip 16.00 (x64 edition)","16.00.00.0","Igor Pavlov","20201102","C:\WINDOWS\ccmcache\7\"
"Adobe Acrobat Reader DC MUI","21.001.20155","Adobe Systems Incorporated","20210513","\\BOS-IMAGE1\ImageFactoryMDT$\Applications\Adobe Reader DC MUI 19.008.20081\"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20210209","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\Cache\"
"DefaultPackMSI","4.6.2.0","Microsoft","20210127","C:\Program Files (x86)\Microsoft Office\root\integration\Addons\"
"Dolby Atmos Windows API SDK","1.1.9.33","Dolby Laboratories, Inc.","20200728","C:\Program Files (x86)\Realtek\Audio\DAX3\"
"Dolby Atmos Windows APP","1.1.8.23","Dolby Laboratories, Inc.","20200728","C:\Program Files (x86)\Realtek\Audio\DAX3\"
"Google Chrome","90.0.4430.212","Google, Inc.","20181205","\\BOS-IMAGE1\ImageFactoryMDT$\Applications\Google Chrome\"
"HOTKEY","1.0.2","Lenovo","20201028","C:\WINDOWS\System32\DriverStore\FileRepository\fn.inf_amd64_62cf4e1fc023f9a9\apps\"
"HOTKEY","1.0.1","Lenovo","20201028","C:\WINDOWS\System32\DriverStore\FileRepository\fn.inf_amd64_62cf4e1fc023f9a9\apps\"
"HOTKEY","1.0.1","Lenovo","20201028","C:\WINDOWS\System32\DriverStore\FileRepository\fn.inf_amd64_62cf4e1fc023f9a9\apps\"
"HOTKEY","1.0.2","Lenovo","20201028","C:\WINDOWS\System32\DriverStore\FileRepository\fn.inf_amd64_62cf4e1fc023f9a9\apps\"
"HOTKEY","1.0.1","Lenovo","20201028","C:\WINDOWS\System32\DriverStore\FileRepository\fn.inf_amd64_62cf4e1fc023f9a9\apps\"
"HOTKEY","1.0.2","Lenovo","20201028","C:\WINDOWS\System32\DriverStore\FileRepository\fn.inf_amd64_62cf4e1fc023f9a9\apps\"
"Intel(R) Chipset Device Software","10.1.17809.8096","Intel Corporation","20190531","C:\ProgramData\Package Cache\{C7CC96C7-C99C-40DD-BB6B-C7BFC2899979}v10.1.17809.8096\"
"Intel(R) Trusted Connect Service Client x64","1.62.321.1","Intel Corporation","20210519","C:\ProgramData\Package Cache\{C9552825-7BF2-4344-BA91-D3CD46F4C442}v1.62.321.1\"
"Intel(R) Trusted Connect Service Client x86","1.62.321.1","Intel Corporation","20210519","C:\ProgramData\Package Cache\{C9552825-7BF2-4344-BA91-D3CD46F4C441}v1.62.321.1\"
"Intel? PROSet/Wireless WiFi Software","21.30.2.3277","Intel Corporation","20190820","C:\ProgramData\Package Cache\{D5FCB020-82E8-2E49-49A0-A9AE4A496DE1}v21.30.2\data\"
"Microsoft ASP.NET MVC 2","2.0.60926.0","Microsoft Corporation","20191005","C:\WINDOWS\TEMP\IXP000.TMP\"
"Microsoft Policy Platform","68.1.1010.0","Microsoft Corporation","20190215","C:\WINDOWS\ccmsetup\"
"Microsoft Search in Bing","2.0.2","Microsoft Corporation","20210127","C:\ProgramData\Microsoft\DefaultPackMSI\"
"Microsoft Silverlight","5.1.50918.0","Microsoft Corporation","20190215","c:\fc8a97357a42b8f8bb3a559c3d\"
"Microsoft Update Health Tools","2.77.0.0","Microsoft Corporation","20210421","C:\WINDOWS\TEMP\"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","Microsoft Corporation","20181205","C:\Users\ADMINI~1\AppData\Local\Temp\IXP000.TMP\"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","Microsoft Corporation","20181205","C:\Users\ADMINI~1\AppData\Local\Temp\IXP000.TMP\"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20181205","c:\2bed2be7bf0e5aaf3056674b\"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20181205","c:\146eb6f66b5de39bac55c0dfaa\"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20181205","c:\3e1ecf1dd2b7e4959e0cb3c86abffc\"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20181205","c:\c1fc819feb19c64628bf\"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20181205","C:\ProgramData\Package Cache\{37B8F9C7-03FB-3253-8781-2517C99D7C00}v11.0.61030\packages\vcRuntimeAdditional_amd64\"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20181205","C:\ProgramData\Package Cache\{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}v11.0.61030\packages\vcRuntimeMinimum_amd64\"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20181205","C:\ProgramData\Package Cache\{B175520C-86A2-35A7-8619-86DC379688B9}v11.0.61030\packages\vcRuntimeAdditional_x86\"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20181205","C:\ProgramData\Package Cache\{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}v11.0.61030\packages\vcRuntimeMinimum_x86\"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660","12.0.40660","Microsoft Corporation","20190215","C:\ProgramData\Package Cache\{5740BD44-B58D-321A-AFC0-6D3D4556DD6C}v12.0.40660\packages\vcRuntimeAdditional_amd64\"
